"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"mg9d","牛丁次郎坊 (台南崇德支店)","日式","4.8","(97)","tainan"
"xyes","168複合小館","台式","4.8","(100+)","tainan"
"woym","爭鮮gogo (台南大同店)","日式","4.9","(100+)","tainan"
"a9po","紅豆族","甜點","4.8","(1000+)","tainan"
"pheu","后湯包 (永康大灣店)","中式","4.8","(54)","tainan"
"z9ip","一手私藏世界紅茶 (台南赤崁店)","飲料","4.9","(500+)","tainan"
"fy7r","牛丼制作所 (台南東區店)","日式","4.8","(5)","tainan"
"b2mo","神座拉麵 (台南崑山店)","日式","4.8","(2000+)","tainan"
"l749","大堂鐵板燒","台式","4.6","(100+)","tainan"
"qzh6","Aliceの鄉村小宿","健康餐","4.5","(100+)","tainan"
"i1hw","草間牛丼 (東區崇德店)","日式","4.7","(15)","tainan"
"tuv1","台南西門圓環高記玉米","小吃","4.8","(20)","tainan"
"a7cs","泰澤泰式料理","東南亞","4.8","(1000+)","tainan"
"zez7","谷哥鹽水雞 (台南成功店)","小吃","4.6","(100+)","tainan"
"z7i4","無名茶棧","飲料","4.3","(48)","tainan"
"dm6l","上頭鹽酥雞","小吃","2.6","(4)","tainan"
"e7fn","極品鮮粥","台式","4.6","(1000+)","tainan"
"r6cj","銘記筒仔米糕","小吃","4.7","(500+)","tainan"
"dtcu","不吃不可鹹水雞2代店 (台南大同店)","小吃","4.5","(100+)","tainan"
"l8qc","參六六製麵所","日式","5","(10)","tainan"
"a9eg","開動魯味 (崑山總店)","小吃","4.7","(1000+)","tainan"
"imo4","日出客棧 (東區文化店)","飲料","4.7","(100+)","tainan"
"nkjx","藝鍋物 (台南文化店)","台式","4.7","(1000+)","tainan"
"quua","豆娃豆花","甜點","4.7","(69)","tainan"
"ymmm","煲一碗粥","台式","4.7","(2000+)","tainan"
"gyeu","醉地府","中式","4.7","(4)","tainan"
"ep9i","那個年代杏仁豆腐冰 (台南民族店)","甜點","4.8","(58)","tainan"
"jgxd","丹瓦樓 東北老滷","中式","4.3","(74)","tainan"
"t8is","養鍋 (台南文化店)","台式","4.7","(99)","tainan"
"a1yx","九州豚骨拉麵 (台南南門店)","日式","4.6","(1000+)","tainan"
"f0dc","多那之 (台南西門店)","甜點","4.8","(500+)","tainan"
"f6a6","六月十八 (台南榮譽店)","飲料","5","(47)","tainan"
"iis4","簡單吃點心坊 (大林店)","飲料","4","(1)","tainan"
"v6fh","鍋呢雞哇","台式","4.6","(500+)","tainan"
"qskk","是福氣義大利麵 鍋物","台式","4.6","(67)","tainan"
"yh6g","大豐麵店 (西門店)","台式","4.3","(49)","tainan"
"nz8v","茶湯會 (永康大灣店)","飲料","5","(29)","tainan"
